[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Running: cifar10_badnets_none_split2_s42
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:42:17][cifar10_badnets_none_split2_s42][INFO] [Epoch 075][TRAIN] loss=0.1141 | train_acc=0.9591 | val_acc=0.8511 | asr=0.0177 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:20][cifar10_badnets_none_split2_s42][INFO] [Epoch 076][TRAIN] loss=0.1097 | train_acc=0.9617 | val_acc=0.8484 | asr=0.0142 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:21][cifar10_badnets_none_split2_s42][INFO] [Epoch 077][TRAIN] loss=0.1023 | train_acc=0.9637 | val_acc=0.8490 | asr=0.0271 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:23][cifar10_badnets_none_split2_s42][INFO] [Epoch 078][TRAIN] loss=0.0996 | train_acc=0.9647 | val_acc=0.8497 | asr=0.0212 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:25][cifar10_badnets_none_split2_s42][INFO] [Epoch 079][TRAIN] loss=0.0917 | train_acc=0.9682 | val_acc=0.8517 | asr=0.0117 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:27][cifar10_badnets_none_split2_s42][INFO] [Epoch 080][TRAIN] loss=0.0871 | train_acc=0.9699 | val_acc=0.8517 | asr=0.0156 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:29][cifar10_badnets_none_split2_s42][INFO] [Epoch 081][TRAIN] loss=0.0841 | train_acc=0.9713 | val_acc=0.8531 | asr=0.0106 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:31][cifar10_badnets_none_split2_s42][INFO] [Epoch 082][TRAIN] loss=0.0801 | train_acc=0.9726 | val_acc=0.8531 | asr=0.0160 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:33][cifar10_badnets_none_split2_s42][INFO] [Epoch 083][TRAIN] loss=0.0741 | train_acc=0.9740 | val_acc=0.8521 | asr=0.0249 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:35][cifar10_badnets_none_split2_s42][INFO] [Epoch 084][TRAIN] loss=0.0745 | train_acc=0.9743 | val_acc=0.8550 | asr=0.0160 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:37][cifar10_badnets_none_split2_s42][INFO] [Epoch 085][TRAIN] loss=0.0681 | train_acc=0.9765 | val_acc=0.8432 | asr=0.0394 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:39][cifar10_badnets_none_split2_s42][INFO] [Epoch 086][TRAIN] loss=0.0642 | train_acc=0.9782 | val_acc=0.8555 | asr=0.0144 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:41][cifar10_badnets_none_split2_s42][INFO] [Epoch 087][TRAIN] loss=0.0654 | train_acc=0.9774 | val_acc=0.8488 | asr=0.0262 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:43][cifar10_badnets_none_split2_s42][INFO] [Epoch 088][TRAIN] loss=0.0625 | train_acc=0.9790 | val_acc=0.8568 | asr=0.0189 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:45][cifar10_badnets_none_split2_s42][INFO] [Epoch 089][TRAIN] loss=0.0610 | train_acc=0.9789 | val_acc=0.8427 | asr=0.0473 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:47][cifar10_badnets_none_split2_s42][INFO] [Epoch 090][TRAIN] loss=0.0562 | train_acc=0.9808 | val_acc=0.8568 | asr=0.0230 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:49][cifar10_badnets_none_split2_s42][INFO] [Epoch 091][TRAIN] loss=0.0524 | train_acc=0.9819 | val_acc=0.8553 | asr=0.0192 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:51][cifar10_badnets_none_split2_s42][INFO] [Epoch 092][TRAIN] loss=0.0552 | train_acc=0.9813 | val_acc=0.8333 | asr=0.0814 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:53][cifar10_badnets_none_split2_s42][INFO] [Epoch 093][TRAIN] loss=0.0542 | train_acc=0.9820 | val_acc=0.8580 | asr=0.0204 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:55][cifar10_badnets_none_split2_s42][INFO] [Epoch 094][TRAIN] loss=0.0539 | train_acc=0.9814 | val_acc=0.8576 | asr=0.0166 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:57][cifar10_badnets_none_split2_s42][INFO] [Epoch 095][TRAIN] loss=0.0537 | train_acc=0.9821 | val_acc=0.8417 | asr=0.0501 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:59][cifar10_badnets_none_split2_s42][INFO] [Epoch 096][TRAIN] loss=0.0516 | train_acc=0.9823 | val_acc=0.8577 | asr=0.0216 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
